iter	RMSE
0	15.58566203
1	15.33740672
2	15.10573593
3	14.8988215
4	14.6941956
5	14.43515356
6	14.17806761
7	13.98336131
8	13.78445681
9	13.57732161
10	13.35344652
11	13.14965897
12	12.96018662
13	12.76581031
14	12.57484182
15	12.38348129
16	12.23889385
17	12.05224276
18	11.85641273
19	11.65301631
20	11.51453634
21	11.34235911
22	11.19737339
23	11.01691895
24	10.89227342
25	10.76394193
26	10.59411346
27	10.47526805
28	10.33828465
29	10.24405917
30	10.14208138
31	9.999206182
32	9.847524253
33	9.696376667
34	9.555208339
35	9.433406962
36	9.335463222
37	9.216890333
38	9.129886716
39	9.052853262
40	8.961479898
41	8.869379802
42	8.782440288
43	8.711712209
44	8.602910304
45	8.49852764
46	8.41377009
47	8.327512387
48	8.240201384
49	8.140324208
50	8.060730838
51	7.997395217
52	7.911910218
53	7.826914081
54	7.743787838
55	7.662557282
56	7.579016553
57	7.491649904
58	7.417770115
59	7.336396922
60	7.288701674
61	7.215856568
62	7.142184056
63	7.091076764
64	7.020790644
65	6.956685881
66	6.907517821
67	6.843257741
68	6.784825249
69	6.729906816
70	6.663918684
71	6.612421723
72	6.555627761
73	6.50240717
74	6.466376629
75	6.432593071
76	6.377137172
77	6.33148513
78	6.285653688
79	6.252653462
80	6.21694688
81	6.17671548
82	6.159286714
83	6.116903748
84	6.079855365
85	6.038746338
86	5.995980153
87	5.945535539
88	5.906805554
89	5.878143752
90	5.843907031
91	5.820610819
92	5.782952456
93	5.750941148
94	5.717199923
95	5.680034465
96	5.640684079
97	5.61040561
98	5.587906063
99	5.553999888
100	5.527450417
101	5.496112661
102	5.473885604
103	5.442596403
104	5.414957559
105	5.393271835
106	5.365487883
107	5.338191034
108	5.312229111
109	5.280077451
110	5.255292544
111	5.232447321
112	5.212542887
113	5.188517551
114	5.164937747
115	5.151730555
116	5.136452826
117	5.113284862
118	5.086592156
119	5.058376319
120	5.032331945
121	5.009760965
122	4.989510313
123	4.970275688
124	4.943378097
125	4.924751405
126	4.907550515
127	4.888665505
128	4.87552664
129	4.855426162
130	4.832029563
131	4.814608869
132	4.797000741
133	4.777986164
134	4.760123123
135	4.749464233
136	4.736830579
137	4.720281648
138	4.705915924
139	4.688815374
140	4.678147071
141	4.666095023
142	4.649889128
143	4.638216197
144	4.624404038
145	4.608850936
146	4.591545588
147	4.576019544
148	4.565763376
149	4.549718285
150	4.533366187
151	4.530607841
152	4.516650182
153	4.504826363
154	4.491894307
155	4.479524174
156	4.463571703
157	4.45035864
158	4.436386364
159	4.425304875
160	4.412059963
161	4.399589953
162	4.384150982
163	4.38068453
164	4.372022193
165	4.360119087
166	4.351561924
167	4.341827631
168	4.331225893
169	4.319978768
170	4.312625066
171	4.29630387
172	4.289502007
173	4.279475288
174	4.264582519
175	4.250929505
176	4.242893555
177	4.227436087
178	4.219594146
179	4.21544846
180	4.208645876
181	4.203232606
182	4.193367803
183	4.178324321
184	4.168587089
185	4.160693637
186	4.155852366
187	4.14807636
188	4.13624336
189	4.130469238
190	4.126146351
191	4.117975352
192	4.110457469
193	4.099518049
194	4.085669911
195	4.075328086
196	4.066777367
197	4.058850868
198	4.046232713
199	4.036261609
200	4.032479511
201	4.028986115
202	4.015223782
203	4.006762138
204	4.001558739
205	3.99570059
206	3.99267989
207	3.989275767
208	3.978456345
209	3.969090662
210	3.961096626
211	3.954216844
212	3.945835002
213	3.937751142
214	3.923786984
215	3.918478348
216	3.913752729
217	3.910283149
218	3.906450912
219	3.90415719
220	3.898551573
221	3.890910965
222	3.883450474
223	3.874400365
224	3.869440334
225	3.866099493
226	3.852533276
227	3.843416325
228	3.840685119
229	3.837442813
230	3.835579375
231	3.83297405
232	3.824388667
233	3.810839073
234	3.807076934
235	3.805272157
236	3.801517782
237	3.790347605
238	3.785742345
239	3.77214509
240	3.769713551
241	3.767127946
242	3.76486766
243	3.76041335
244	3.755958556
245	3.749548835
246	3.741664823
247	3.729892236
248	3.716700979
249	3.714762536
250	3.712668902
251	3.705132027
252	3.699495233
253	3.690843087
254	3.683803749
255	3.6698272
256	3.663921055
257	3.662227483
258	3.646769192
259	3.644510601
260	3.642200846
261	3.639763542
262	3.637055102
