iter	Passed	Remaining
0	3	3647
1	6	3129
2	9	3062
3	11	2983
4	14	2899
5	16	2752
6	18	2593
7	20	2516
8	21	2405
9	22	2262
10	24	2166
11	25	2092
12	26	2026
13	27	1961
14	28	1897
15	29	1838
16	30	1786
17	31	1741
18	32	1698
19	33	1662
20	34	1622
21	35	1586
22	36	1549
23	37	1518
24	38	1484
25	38	1451
26	39	1426
27	40	1400
28	41	1375
29	41	1352
30	42	1332
31	43	1311
32	43	1286
33	44	1267
34	45	1251
35	46	1233
36	46	1216
37	47	1200
38	48	1184
39	48	1168
40	49	1153
41	49	1139
42	50	1128
43	51	1116
44	51	1102
45	52	1090
46	53	1078
47	53	1067
48	54	1056
49	55	1047
50	55	1038
51	56	1028
52	56	1015
53	57	1006
54	58	997
55	58	989
56	59	981
57	59	973
58	60	966
59	61	959
60	61	952
61	62	945
62	63	939
63	63	933
64	64	927
65	65	921
66	65	915
67	66	909
68	67	904
69	67	897
70	68	891
71	68	886
72	69	881
73	70	876
74	70	869
75	71	865
76	71	862
77	72	857
78	73	853
79	73	849
80	74	843
81	74	839
82	75	832
83	76	829
84	76	825
85	77	821
86	78	818
87	78	814
88	79	813
89	80	810
90	80	808
91	81	803
92	82	800
93	82	796
94	83	793
95	83	790
96	84	787
97	85	784
98	85	781
99	86	778
100	87	775
101	87	772
102	88	769
103	89	767
104	89	765
105	90	762
106	91	760
107	91	757
108	92	756
109	93	755
110	94	753
111	94	752
112	95	750
113	96	748
114	96	745
115	97	743
116	98	741
117	98	738
118	99	736
119	100	733
120	100	731
121	101	728
122	101	726
123	102	723
124	103	721
125	103	720
126	104	717
127	105	715
128	105	713
129	106	711
130	106	709
131	107	707
132	108	705
133	108	704
134	109	701
135	109	697
136	110	694
137	110	692
138	111	690
139	112	689
140	112	687
141	113	685
142	114	683
143	114	681
144	115	680
145	115	678
146	116	676
147	117	674
148	117	672
149	118	671
150	119	669
151	119	666
152	120	664
153	120	662
154	121	661
155	121	659
156	122	657
157	123	656
158	123	654
159	124	653
160	125	651
161	125	650
162	126	648
163	126	645
164	127	644
165	127	642
166	128	641
167	129	639
168	129	638
169	130	636
170	131	635
171	131	633
172	132	632
173	132	631
174	133	629
175	134	628
176	134	627
177	135	625
178	136	624
179	136	623
180	137	621
181	138	620
182	138	619
183	139	617
184	139	616
185	140	614
186	141	613
187	141	612
188	142	610
189	143	609
190	143	608
191	144	607
192	144	605
193	145	604
194	146	603
195	146	601
196	147	600
197	148	599
198	148	598
199	149	597
200	149	596
201	150	594
202	151	593
203	151	592
204	152	591
205	153	589
206	153	588
207	154	587
208	154	586
209	155	585
210	156	584
211	156	582
212	157	581
213	158	580
214	158	579
215	159	578
216	159	577
217	160	576
218	161	575
219	161	574
220	162	572
221	163	571
222	163	570
223	164	570
224	165	569
225	165	567
226	166	566
227	167	565
228	167	564
229	168	563
230	169	562
231	169	561
232	170	560
233	170	559
234	171	558
235	172	557
236	172	556
237	173	555
238	174	554
239	174	553
240	175	552
241	175	550
242	176	550
243	177	549
244	177	548
245	178	546
246	179	545
247	179	544
248	180	543
249	180	542
250	181	541
251	182	540
252	182	539
253	183	538
254	183	537
255	184	536
256	185	535
257	185	534
258	186	533
259	187	532
260	187	531
261	188	530
262	189	529
263	189	528
264	190	527
265	190	526
266	191	525
267	192	524
268	192	523
269	193	522
270	194	522
