iter	Passed	Remaining
0	2	2420
1	4	2081
2	8	2801
3	11	2807
4	12	2477
5	14	2445
6	18	2691
7	20	2602
8	22	2427
9	23	2279
10	24	2167
11	25	2086
12	26	2000
13	32	2287
14	34	2251
15	35	2173
16	36	2102
17	37	2056
18	38	2011
19	39	1950
20	40	1891
21	41	1836
22	42	1786
23	48	1965
24	49	1947
25	50	1909
26	51	1873
27	53	1845
28	54	1810
29	54	1768
30	55	1733
31	56	1700
32	57	1675
33	59	1703
34	62	1718
35	63	1697
36	64	1673
37	65	1646
38	65	1622
39	67	1609
40	67	1586
41	68	1564
42	69	1543
43	70	1522
44	70	1503
45	71	1485
46	72	1467
47	76	1515
48	77	1512
49	78	1498
50	79	1485
51	80	1469
52	81	1453
53	82	1438
54	82	1424
55	83	1410
56	84	1396
57	85	1384
58	86	1374
59	86	1362
60	87	1349
61	89	1355
62	90	1347
63	91	1341
64	92	1331
65	93	1320
66	94	1311
67	94	1300
68	95	1287
69	96	1278
70	96	1268
71	97	1259
72	98	1250
73	99	1242
74	99	1229
75	100	1221
76	101	1212
77	102	1207
78	103	1206
79	104	1206
80	105	1201
81	106	1194
82	107	1190
83	108	1185
84	109	1180
85	110	1178
86	111	1173
87	112	1166
88	113	1160
89	114	1153
90	114	1147
91	115	1141
92	116	1134
93	117	1128
94	118	1130
95	120	1130
96	120	1124
97	121	1119
98	122	1113
99	123	1108
100	123	1102
101	124	1097
102	125	1090
103	126	1085
104	126	1080
105	127	1073
106	128	1068
107	128	1064
108	129	1060
109	130	1054
110	131	1051
111	134	1066
112	135	1064
113	136	1060
114	137	1055
115	137	1051
116	138	1047
117	139	1044
118	140	1041
119	141	1038
120	142	1032
121	143	1030
122	144	1027
123	144	1023
124	145	1019
125	146	1015
126	147	1012
127	149	1016
128	151	1019
129	152	1018
130	153	1018
131	154	1017
132	156	1018
133	157	1019
134	159	1021
135	160	1019
136	161	1017
137	163	1023
138	164	1020
139	166	1019
140	167	1019
141	168	1018
142	169	1017
143	171	1019
144	172	1019
145	173	1017
146	174	1015
147	176	1016
148	178	1018
149	179	1019
150	181	1021
151	182	1019
152	183	1017
153	184	1014
154	186	1016
155	187	1012
156	188	1010
157	189	1008
158	190	1006
159	191	1002
160	191	999
161	193	999
162	195	1004
163	197	1006
164	198	1004
165	199	1003
166	200	1001
167	201	998
168	203	1001
169	205	1000
170	205	998
171	208	1003
172	209	1003
173	212	1007
174	213	1005
175	214	1004
176	215	1003
177	217	1002
178	218	1001
179	219	999
180	220	996
181	221	994
182	224	1000
183	226	1005
184	228	1005
185	229	1004
186	230	1002
187	231	1000
188	233	1001
189	234	999
190	235	997
191	236	993
192	238	998
193	241	1003
194	243	1003
195	244	1001
196	245	999
197	246	996
198	247	995
199	248	994
200	249	991
201	250	988
202	250	985
203	252	984
204	254	985
205	255	985
206	256	984
207	257	982
208	258	979
209	259	976
210	260	974
211	261	972
212	263	971
213	263	969
214	264	966
215	265	963
216	266	960
217	268	962
218	270	964
219	271	963
220	272	961
221	273	959
222	274	956
223	275	955
224	277	954
225	277	952
226	278	949
227	279	946
228	280	943
229	281	941
230	283	943
231	285	943
232	286	942
233	287	939
234	287	937
235	288	935
236	290	933
237	290	930
238	291	928
239	292	926
240	293	923
241	293	920
242	294	917
243	295	915
244	296	912
245	298	915
246	299	913
247	300	911
248	301	909
249	302	906
250	303	904
251	303	901
252	304	899
253	305	896
254	306	894
255	306	892
256	307	889
257	308	887
258	309	884
259	310	882
260	310	879
261	312	880
262	313	879
263	314	876
264	315	874
265	316	872
266	316	869
267	317	867
268	318	865
269	319	862
270	319	860
271	320	858
272	321	855
273	322	853
274	322	851
275	323	848
276	324	846
277	325	844
278	326	842
279	327	842
280	329	841
281	330	840
282	331	839
283	332	837
284	333	836
285	334	834
286	335	832
287	336	830
288	336	828
289	337	826
290	338	824
291	339	822
292	340	821
293	342	823
294	343	821
295	344	819
296	345	817
297	346	816
298	347	814
299	348	812
300	348	810
301	349	808
302	350	807
303	351	805
304	352	803
305	353	802
306	354	800
307	355	798
308	357	799
309	358	797
310	359	795
311	359	793
312	360	791
313	361	789
314	362	787
315	362	785
316	363	783
317	364	781
318	365	779
319	366	777
320	366	775
321	367	773
322	368	771
323	369	770
324	370	769
325	373	772
326	374	771
327	375	769
328	376	767
329	377	766
330	378	765
331	379	763
332	380	761
333	381	759
334	381	758
335	382	756
336	383	754
337	384	752
338	384	750
339	386	749
340	387	749
341	388	747
342	389	745
343	390	743
344	391	742
345	391	740
346	392	738
347	393	736
348	394	735
349	394	733
350	395	731
351	396	729
352	397	727
353	397	725
354	398	724
355	399	722
356	400	720
357	402	721
358	402	719
359	403	717
360	404	715
361	405	714
362	406	712
363	406	710
364	407	708
365	408	707
366	409	705
367	409	703
368	410	702
369	411	700
370	412	698
371	412	697
372	413	695
373	414	693
374	415	691
375	416	691
376	417	690
377	418	688
378	419	687
379	420	685
380	421	684
381	421	682
382	422	680
383	423	679
384	424	677
385	424	675
386	425	674
387	426	672
388	427	671
389	428	669
390	428	667
391	429	666
392	430	664
393	432	664
394	432	663
395	433	661
396	434	659
397	435	658
398	436	656
399	436	655
400	437	653
401	438	652
402	439	650
403	439	648
404	440	647
405	441	645
406	442	644
407	443	642
408	443	641
409	444	639
410	446	639
411	447	638
412	448	636
413	448	635
414	449	633
415	450	632
416	451	630
417	451	629
418	452	627
419	453	626
420	454	624
421	454	623
422	455	621
423	456	619
424	457	618
425	457	616
426	458	615
427	459	613
428	460	612
429	462	612
430	462	611
431	463	609
432	464	608
433	465	606
434	465	605
435	466	603
436	467	602
437	468	600
438	468	599
439	469	597
440	470	596
441	471	594
442	471	593
443	472	591
444	473	590
445	474	588
446	474	587
447	476	587
448	477	586
449	478	585
450	479	584
451	480	582
452	481	581
453	482	580
454	483	579
455	484	577
456	485	576
457	485	575
458	486	573
459	487	572
460	488	570
461	488	569
462	489	567
463	491	567
464	493	567
465	493	566
466	495	565
467	496	564
468	497	563
469	498	561
470	498	560
471	499	558
472	500	557
473	501	556
474	502	555
475	503	554
476	504	553
477	506	553
478	507	552
479	508	551
480	510	550
481	511	549
482	512	548
483	514	548
484	515	547
485	516	546
486	517	545
487	518	543
488	519	542
489	521	542
490	524	543
491	525	542
492	526	541
493	527	539
494	528	538
495	530	539
496	532	538
497	533	537
498	533	536
499	534	534
500	537	535
501	539	535
502	540	534
503	542	533
504	543	532
505	544	531
506	546	531
507	547	530
508	548	529
509	549	527
510	552	528
511	553	527
512	555	527
513	556	526
514	557	524
515	558	523
516	559	522
517	561	522
518	562	521
519	563	520
520	566	520
521	568	520
522	570	520
523	571	519
524	572	518
525	573	516
526	575	516
527	576	515
528	577	514
529	578	513
530	579	511
531	582	512
532	583	511
533	584	510
534	585	508
535	586	507
536	587	506
537	588	505
538	589	504
539	590	503
540	591	501
541	592	500
542	592	498
543	593	497
544	595	496
545	598	497
546	599	496
547	601	495
548	602	494
549	602	493
550	605	493
551	606	492
552	607	491
553	610	491
554	612	491
555	614	490
556	616	490
557	617	489
558	620	489
559	621	488
560	622	487
561	623	485
562	626	486
563	627	485
564	629	484
565	630	483
566	631	481
567	632	481
568	634	480
569	635	479
570	636	477
571	636	476
572	637	475
573	640	475
574	642	474
575	643	473
576	644	472
577	645	471
578	646	469
579	647	468
580	649	468
581	650	467
582	651	466
583	652	464
584	653	463
585	655	463
586	657	462
587	659	462
588	660	460
589	661	459
590	662	458
591	664	457
592	665	456
593	666	455
594	666	453
595	667	452
596	672	453
597	673	452
598	674	451
599	675	450
600	676	449
601	677	448
602	679	447
603	680	446
604	681	444
605	682	443
606	683	442
607	684	441
608	686	440
609	688	440
610	689	439
611	690	437
612	691	436
613	692	435
614	694	434
615	695	433
616	696	432
617	697	430
618	697	429
619	700	429
620	703	429
621	704	428
622	705	426
623	706	425
624	707	424
625	709	423
626	710	422
627	711	421
628	711	419
629	712	418
630	713	417
631	715	416
632	717	415
633	718	414
634	719	413
635	719	412
636	720	410
637	721	409
638	723	408
639	724	407
640	725	406
641	726	405
642	727	403
643	728	402
644	730	401
645	732	401
646	733	400
647	734	399
648	735	397
649	736	396
650	737	395
651	740	395
652	742	394
653	746	394
654	747	393
655	748	392
656	749	391
657	750	390
658	751	388
659	752	387
660	753	386
661	754	385
662	755	383
663	756	382
664	756	381
665	757	379
666	759	379
667	761	378
668	762	377
669	763	375
670	764	374
671	764	373
672	765	372
673	766	370
674	767	369
675	768	368
676	768	366
677	769	365
678	770	364
679	771	362
680	772	361
681	772	360
682	775	359
683	776	358
684	776	357
685	777	355
686	778	354
687	779	353
688	780	352
689	781	351
690	782	349
691	783	348
692	784	347
693	785	346
694	786	345
695	787	343
696	788	342
697	790	342
698	792	341
699	793	340
700	795	339
701	796	337
702	797	336
703	798	335
704	799	334
705	800	333
706	801	332
707	802	331
708	805	330
709	807	329
710	808	328
711	810	327
712	811	326
713	812	325
714	813	324
715	814	323
716	815	322
717	816	320
718	817	319
719	821	319
720	822	318
721	823	317
722	824	315
723	825	314
724	827	313
725	829	312
726	830	311
727	830	310
728	831	309
729	834	308
730	837	308
731	839	307
732	840	306
733	841	304
734	842	303
735	843	302
736	845	301
737	846	300
738	848	299
739	850	298
740	851	297
